#ndep: 2897
#depth (km)    Vp_arithmetic (km/s)    Vp_geometric (km/s)
  1300.0           1.1914E+01              1.1914E+01
  1301.0           1.1915E+01              1.1915E+01
  1302.0           1.1917E+01              1.1917E+01
  1303.0           1.1918E+01              1.1918E+01
  1304.0           1.1919E+01              1.1919E+01
  1305.0           1.1921E+01              1.1921E+01
  1306.0           1.1922E+01              1.1922E+01
  1307.0           1.1924E+01              1.1924E+01
  1308.0           1.1925E+01              1.1925E+01
  1309.0           1.1927E+01              1.1927E+01
  1310.0           1.1928E+01              1.1928E+01
  1311.0           1.1930E+01              1.1930E+01
  1312.0           1.1931E+01              1.1931E+01
  1313.0           1.1932E+01              1.1932E+01
  1314.0           1.1934E+01              1.1934E+01
  1315.0           1.1935E+01              1.1935E+01
  1316.0           1.1937E+01              1.1937E+01
  1317.0           1.1938E+01              1.1938E+01
  1318.0           1.1940E+01              1.1940E+01
  1319.0           1.1941E+01              1.1941E+01
  1320.0           1.1942E+01              1.1942E+01
  1321.0           1.1944E+01              1.1944E+01
  1322.0           1.1945E+01              1.1945E+01
  1323.0           1.1947E+01              1.1947E+01
  1324.0           1.1948E+01              1.1948E+01
  1325.0           1.1950E+01              1.1950E+01
  1326.0           1.1951E+01              1.1951E+01
  1327.0           1.1953E+01              1.1952E+01
  1328.0           1.1954E+01              1.1954E+01
  1329.0           1.1955E+01              1.1955E+01
  1330.0           1.1957E+01              1.1957E+01
  1331.0           1.1958E+01              1.1958E+01
  1332.0           1.1960E+01              1.1960E+01
  1333.0           1.1961E+01              1.1961E+01
  1334.0           1.1963E+01              1.1962E+01
  1335.0           1.1964E+01              1.1964E+01
  1336.0           1.1965E+01              1.1965E+01
  1337.0           1.1967E+01              1.1967E+01
  1338.0           1.1968E+01              1.1968E+01
  1339.0           1.1970E+01              1.1970E+01
  1340.0           1.1971E+01              1.1971E+01
  1341.0           1.1972E+01              1.1972E+01
  1342.0           1.1974E+01              1.1974E+01
  1343.0           1.1975E+01              1.1975E+01
  1344.0           1.1977E+01              1.1977E+01
  1345.0           1.1978E+01              1.1978E+01
  1346.0           1.1980E+01              1.1980E+01
  1347.0           1.1981E+01              1.1981E+01
  1348.0           1.1982E+01              1.1982E+01
  1349.0           1.1984E+01              1.1984E+01
  1350.0           1.1985E+01              1.1985E+01
  1351.0           1.1987E+01              1.1987E+01
  1352.0           1.1988E+01              1.1988E+01
  1353.0           1.1990E+01              1.1989E+01
  1354.0           1.1991E+01              1.1991E+01
  1355.0           1.1992E+01              1.1992E+01
  1356.0           1.1994E+01              1.1994E+01
  1357.0           1.1995E+01              1.1995E+01
  1358.0           1.1997E+01              1.1997E+01
  1359.0           1.1998E+01              1.1998E+01
  1360.0           1.1999E+01              1.1999E+01
  1361.0           1.2001E+01              1.2001E+01
  1362.0           1.2002E+01              1.2002E+01
  1363.0           1.2004E+01              1.2004E+01
  1364.0           1.2005E+01              1.2005E+01
  1365.0           1.2006E+01              1.2006E+01
  1366.0           1.2008E+01              1.2008E+01
  1367.0           1.2009E+01              1.2009E+01
  1368.0           1.2011E+01              1.2011E+01
  1369.0           1.2012E+01              1.2012E+01
  1370.0           1.2014E+01              1.2013E+01
  1371.0           1.2015E+01              1.2015E+01
  1372.0           1.2016E+01              1.2016E+01
  1373.0           1.2018E+01              1.2018E+01
  1374.0           1.2019E+01              1.2019E+01
  1375.0           1.2021E+01              1.2021E+01
  1376.0           1.2022E+01              1.2022E+01
  1377.0           1.2023E+01              1.2023E+01
  1378.0           1.2025E+01              1.2025E+01
  1379.0           1.2026E+01              1.2026E+01
  1380.0           1.2028E+01              1.2028E+01
  1381.0           1.2029E+01              1.2029E+01
  1382.0           1.2030E+01              1.2030E+01
  1383.0           1.2032E+01              1.2032E+01
  1384.0           1.2033E+01              1.2033E+01
  1385.0           1.2035E+01              1.2035E+01
  1386.0           1.2036E+01              1.2036E+01
  1387.0           1.2037E+01              1.2037E+01
  1388.0           1.2039E+01              1.2039E+01
  1389.0           1.2040E+01              1.2040E+01
  1390.0           1.2042E+01              1.2042E+01
  1391.0           1.2043E+01              1.2043E+01
  1392.0           1.2044E+01              1.2044E+01
  1393.0           1.2046E+01              1.2046E+01
  1394.0           1.2047E+01              1.2047E+01
  1395.0           1.2049E+01              1.2049E+01
  1396.0           1.2050E+01              1.2050E+01
  1397.0           1.2051E+01              1.2051E+01
  1398.0           1.2053E+01              1.2053E+01
  1399.0           1.2054E+01              1.2054E+01
  1400.0           1.2056E+01              1.2055E+01
  1401.0           1.2057E+01              1.2057E+01
  1402.0           1.2058E+01              1.2058E+01
  1403.0           1.2060E+01              1.2060E+01
  1404.0           1.2061E+01              1.2061E+01
  1405.0           1.2062E+01              1.2062E+01
  1406.0           1.2064E+01              1.2064E+01
  1407.0           1.2065E+01              1.2065E+01
  1408.0           1.2067E+01              1.2067E+01
  1409.0           1.2068E+01              1.2068E+01
  1410.0           1.2069E+01              1.2069E+01
  1411.0           1.2071E+01              1.2071E+01
  1412.0           1.2072E+01              1.2072E+01
  1413.0           1.2074E+01              1.2074E+01
  1414.0           1.2075E+01              1.2075E+01
  1415.0           1.2076E+01              1.2076E+01
  1416.0           1.2078E+01              1.2078E+01
  1417.0           1.2079E+01              1.2079E+01
  1418.0           1.2080E+01              1.2080E+01
  1419.0           1.2082E+01              1.2082E+01
  1420.0           1.2083E+01              1.2083E+01
  1421.0           1.2085E+01              1.2085E+01
  1422.0           1.2086E+01              1.2086E+01
  1423.0           1.2087E+01              1.2087E+01
  1424.0           1.2089E+01              1.2089E+01
  1425.0           1.2090E+01              1.2090E+01
  1426.0           1.2092E+01              1.2092E+01
  1427.0           1.2093E+01              1.2093E+01
  1428.0           1.2094E+01              1.2094E+01
  1429.0           1.2096E+01              1.2096E+01
  1430.0           1.2097E+01              1.2097E+01
  1431.0           1.2098E+01              1.2098E+01
  1432.0           1.2100E+01              1.2100E+01
  1433.0           1.2101E+01              1.2101E+01
  1434.0           1.2103E+01              1.2103E+01
  1435.0           1.2104E+01              1.2104E+01
  1436.0           1.2105E+01              1.2105E+01
  1437.0           1.2107E+01              1.2107E+01
  1438.0           1.2108E+01              1.2108E+01
  1439.0           1.2109E+01              1.2109E+01
  1440.0           1.2111E+01              1.2111E+01
  1441.0           1.2112E+01              1.2112E+01
  1442.0           1.2114E+01              1.2114E+01
  1443.0           1.2115E+01              1.2115E+01
  1444.0           1.2116E+01              1.2116E+01
  1445.0           1.2118E+01              1.2118E+01
  1446.0           1.2119E+01              1.2119E+01
  1447.0           1.2120E+01              1.2120E+01
  1448.0           1.2122E+01              1.2122E+01
  1449.0           1.2123E+01              1.2123E+01
  1450.0           1.2125E+01              1.2125E+01
  1451.0           1.2126E+01              1.2126E+01
  1452.0           1.2127E+01              1.2127E+01
  1453.0           1.2129E+01              1.2129E+01
  1454.0           1.2130E+01              1.2130E+01
  1455.0           1.2131E+01              1.2131E+01
  1456.0           1.2133E+01              1.2133E+01
  1457.0           1.2134E+01              1.2134E+01
  1458.0           1.2135E+01              1.2135E+01
  1459.0           1.2137E+01              1.2137E+01
  1460.0           1.2138E+01              1.2138E+01
  1461.0           1.2140E+01              1.2140E+01
  1462.0           1.2141E+01              1.2141E+01
  1463.0           1.2142E+01              1.2142E+01
  1464.0           1.2144E+01              1.2144E+01
  1465.0           1.2145E+01              1.2145E+01
  1466.0           1.2146E+01              1.2146E+01
  1467.0           1.2148E+01              1.2148E+01
  1468.0           1.2149E+01              1.2149E+01
  1469.0           1.2150E+01              1.2150E+01
  1470.0           1.2152E+01              1.2152E+01
  1471.0           1.2153E+01              1.2153E+01
  1472.0           1.2155E+01              1.2154E+01
  1473.0           1.2156E+01              1.2156E+01
  1474.0           1.2157E+01              1.2157E+01
  1475.0           1.2159E+01              1.2159E+01
  1476.0           1.2160E+01              1.2160E+01
  1477.0           1.2161E+01              1.2161E+01
  1478.0           1.2163E+01              1.2163E+01
  1479.0           1.2164E+01              1.2164E+01
  1480.0           1.2165E+01              1.2165E+01
  1481.0           1.2167E+01              1.2167E+01
  1482.0           1.2168E+01              1.2168E+01
  1483.0           1.2169E+01              1.2169E+01
  1484.0           1.2171E+01              1.2171E+01
  1485.0           1.2172E+01              1.2172E+01
  1486.0           1.2174E+01              1.2173E+01
  1487.0           1.2175E+01              1.2175E+01
  1488.0           1.2176E+01              1.2176E+01
  1489.0           1.2178E+01              1.2178E+01
  1490.0           1.2179E+01              1.2179E+01
  1491.0           1.2180E+01              1.2180E+01
  1492.0           1.2182E+01              1.2182E+01
  1493.0           1.2183E+01              1.2183E+01
  1494.0           1.2184E+01              1.2184E+01
  1495.0           1.2186E+01              1.2186E+01
  1496.0           1.2187E+01              1.2187E+01
  1497.0           1.2188E+01              1.2188E+01
  1498.0           1.2190E+01              1.2190E+01
  1499.0           1.2191E+01              1.2191E+01
  1500.0           1.2192E+01              1.2192E+01
  1501.0           1.2194E+01              1.2194E+01
  1502.0           1.2195E+01              1.2195E+01
  1503.0           1.2196E+01              1.2196E+01
  1504.0           1.2198E+01              1.2198E+01
  1505.0           1.2199E+01              1.2199E+01
  1506.0           1.2200E+01              1.2200E+01
  1507.0           1.2202E+01              1.2202E+01
  1508.0           1.2203E+01              1.2203E+01
  1509.0           1.2205E+01              1.2204E+01
  1510.0           1.2206E+01              1.2206E+01
  1511.0           1.2207E+01              1.2207E+01
  1512.0           1.2209E+01              1.2209E+01
  1513.0           1.2210E+01              1.2210E+01
  1514.0           1.2211E+01              1.2211E+01
  1515.0           1.2213E+01              1.2213E+01
  1516.0           1.2214E+01              1.2214E+01
  1517.0           1.2215E+01              1.2215E+01
  1518.0           1.2217E+01              1.2217E+01
  1519.0           1.2218E+01              1.2218E+01
  1520.0           1.2219E+01              1.2219E+01
  1521.0           1.2221E+01              1.2221E+01
  1522.0           1.2222E+01              1.2222E+01
  1523.0           1.2223E+01              1.2223E+01
  1524.0           1.2225E+01              1.2225E+01
  1525.0           1.2226E+01              1.2226E+01
  1526.0           1.2227E+01              1.2227E+01
  1527.0           1.2229E+01              1.2229E+01
  1528.0           1.2230E+01              1.2230E+01
  1529.0           1.2231E+01              1.2231E+01
  1530.0           1.2233E+01              1.2233E+01
  1531.0           1.2234E+01              1.2234E+01
  1532.0           1.2235E+01              1.2235E+01
  1533.0           1.2237E+01              1.2237E+01
  1534.0           1.2238E+01              1.2238E+01
  1535.0           1.2239E+01              1.2239E+01
  1536.0           1.2241E+01              1.2241E+01
  1537.0           1.2242E+01              1.2242E+01
  1538.0           1.2243E+01              1.2243E+01
  1539.0           1.2245E+01              1.2245E+01
  1540.0           1.2246E+01              1.2246E+01
  1541.0           1.2247E+01              1.2247E+01
  1542.0           1.2249E+01              1.2249E+01
  1543.0           1.2250E+01              1.2250E+01
  1544.0           1.2251E+01              1.2251E+01
  1545.0           1.2253E+01              1.2253E+01
  1546.0           1.2254E+01              1.2254E+01
  1547.0           1.2255E+01              1.2255E+01
  1548.0           1.2257E+01              1.2257E+01
  1549.0           1.2258E+01              1.2258E+01
  1550.0           1.2259E+01              1.2259E+01
  1551.0           1.2261E+01              1.2261E+01
  1552.0           1.2262E+01              1.2262E+01
  1553.0           1.2263E+01              1.2263E+01
  1554.0           1.2265E+01              1.2265E+01
  1555.0           1.2266E+01              1.2266E+01
  1556.0           1.2267E+01              1.2267E+01
  1557.0           1.2269E+01              1.2269E+01
  1558.0           1.2270E+01              1.2270E+01
  1559.0           1.2271E+01              1.2271E+01
  1560.0           1.2273E+01              1.2272E+01
  1561.0           1.2274E+01              1.2274E+01
  1562.0           1.2275E+01              1.2275E+01
  1563.0           1.2276E+01              1.2276E+01
  1564.0           1.2278E+01              1.2278E+01
  1565.0           1.2279E+01              1.2279E+01
  1566.0           1.2280E+01              1.2280E+01
  1567.0           1.2282E+01              1.2282E+01
  1568.0           1.2283E+01              1.2283E+01
  1569.0           1.2284E+01              1.2284E+01
  1570.0           1.2286E+01              1.2286E+01
  1571.0           1.2287E+01              1.2287E+01
  1572.0           1.2288E+01              1.2288E+01
  1573.0           1.2290E+01              1.2290E+01
  1574.0           1.2291E+01              1.2291E+01
  1575.0           1.2292E+01              1.2292E+01
  1576.0           1.2294E+01              1.2294E+01
  1577.0           1.2295E+01              1.2295E+01
  1578.0           1.2296E+01              1.2296E+01
  1579.0           1.2298E+01              1.2298E+01
  1580.0           1.2299E+01              1.2299E+01
  1581.0           1.2300E+01              1.2300E+01
  1582.0           1.2302E+01              1.2302E+01
  1583.0           1.2303E+01              1.2303E+01
  1584.0           1.2304E+01              1.2304E+01
  1585.0           1.2305E+01              1.2305E+01
  1586.0           1.2307E+01              1.2307E+01
  1587.0           1.2308E+01              1.2308E+01
  1588.0           1.2309E+01              1.2309E+01
  1589.0           1.2311E+01              1.2311E+01
  1590.0           1.2312E+01              1.2312E+01
  1591.0           1.2313E+01              1.2313E+01
  1592.0           1.2315E+01              1.2315E+01
  1593.0           1.2316E+01              1.2316E+01
  1594.0           1.2317E+01              1.2317E+01
  1595.0           1.2319E+01              1.2319E+01
  1596.0           1.2320E+01              1.2320E+01
  1597.0           1.2321E+01              1.2321E+01
  1598.0           1.2323E+01              1.2323E+01
  1599.0           1.2324E+01              1.2324E+01
  1600.0           1.2325E+01              1.2325E+01
  1601.0           1.2326E+01              1.2326E+01
  1602.0           1.2328E+01              1.2328E+01
  1603.0           1.2329E+01              1.2329E+01
  1604.0           1.2330E+01              1.2330E+01
  1605.0           1.2332E+01              1.2332E+01
  1606.0           1.2333E+01              1.2333E+01
  1607.0           1.2334E+01              1.2334E+01
  1608.0           1.2336E+01              1.2336E+01
  1609.0           1.2337E+01              1.2337E+01
  1610.0           1.2338E+01              1.2338E+01
  1611.0           1.2340E+01              1.2340E+01
  1612.0           1.2341E+01              1.2341E+01
  1613.0           1.2342E+01              1.2342E+01
  1614.0           1.2343E+01              1.2343E+01
  1615.0           1.2345E+01              1.2345E+01
  1616.0           1.2346E+01              1.2346E+01
  1617.0           1.2347E+01              1.2347E+01
  1618.0           1.2349E+01              1.2349E+01
  1619.0           1.2350E+01              1.2350E+01
  1620.0           1.2351E+01              1.2351E+01
  1621.0           1.2353E+01              1.2353E+01
  1622.0           1.2354E+01              1.2354E+01
  1623.0           1.2355E+01              1.2355E+01
  1624.0           1.2356E+01              1.2356E+01
  1625.0           1.2358E+01              1.2358E+01
  1626.0           1.2359E+01              1.2359E+01
  1627.0           1.2360E+01              1.2360E+01
  1628.0           1.2362E+01              1.2362E+01
  1629.0           1.2363E+01              1.2363E+01
  1630.0           1.2364E+01              1.2364E+01
  1631.0           1.2366E+01              1.2366E+01
  1632.0           1.2367E+01              1.2367E+01
  1633.0           1.2368E+01              1.2368E+01
  1634.0           1.2369E+01              1.2369E+01
  1635.0           1.2371E+01              1.2371E+01
  1636.0           1.2372E+01              1.2372E+01
  1637.0           1.2373E+01              1.2373E+01
  1638.0           1.2375E+01              1.2375E+01
  1639.0           1.2376E+01              1.2376E+01
  1640.0           1.2377E+01              1.2377E+01
  1641.0           1.2379E+01              1.2379E+01
  1642.0           1.2380E+01              1.2380E+01
  1643.0           1.2381E+01              1.2381E+01
  1644.0           1.2382E+01              1.2382E+01
  1645.0           1.2384E+01              1.2384E+01
  1646.0           1.2385E+01              1.2385E+01
  1647.0           1.2386E+01              1.2386E+01
  1648.0           1.2388E+01              1.2388E+01
  1649.0           1.2389E+01              1.2389E+01
  1650.0           1.2390E+01              1.2390E+01
  1651.0           1.2391E+01              1.2391E+01
  1652.0           1.2393E+01              1.2393E+01
  1653.0           1.2394E+01              1.2394E+01
  1654.0           1.2395E+01              1.2395E+01
  1655.0           1.2397E+01              1.2397E+01
  1656.0           1.2398E+01              1.2398E+01
  1657.0           1.2399E+01              1.2399E+01
  1658.0           1.2401E+01              1.2401E+01
  1659.0           1.2402E+01              1.2402E+01
  1660.0           1.2403E+01              1.2403E+01
  1661.0           1.2404E+01              1.2404E+01
  1662.0           1.2406E+01              1.2406E+01
  1663.0           1.2407E+01              1.2407E+01
  1664.0           1.2408E+01              1.2408E+01
  1665.0           1.2410E+01              1.2410E+01
  1666.0           1.2411E+01              1.2411E+01
  1667.0           1.2412E+01              1.2412E+01
  1668.0           1.2413E+01              1.2413E+01
  1669.0           1.2415E+01              1.2415E+01
  1670.0           1.2416E+01              1.2416E+01
  1671.0           1.2417E+01              1.2417E+01
  1672.0           1.2419E+01              1.2419E+01
  1673.0           1.2420E+01              1.2420E+01
  1674.0           1.2421E+01              1.2421E+01
  1675.0           1.2422E+01              1.2422E+01
  1676.0           1.2424E+01              1.2424E+01
  1677.0           1.2425E+01              1.2425E+01
  1678.0           1.2426E+01              1.2426E+01
  1679.0           1.2428E+01              1.2428E+01
  1680.0           1.2429E+01              1.2429E+01
  1681.0           1.2430E+01              1.2430E+01
  1682.0           1.2431E+01              1.2431E+01
  1683.0           1.2433E+01              1.2433E+01
  1684.0           1.2434E+01              1.2434E+01
  1685.0           1.2435E+01              1.2435E+01
  1686.0           1.2437E+01              1.2436E+01
  1687.0           1.2438E+01              1.2438E+01
  1688.0           1.2439E+01              1.2439E+01
  1689.0           1.2440E+01              1.2440E+01
  1690.0           1.2442E+01              1.2442E+01
  1691.0           1.2443E+01              1.2443E+01
  1692.0           1.2444E+01              1.2444E+01
  1693.0           1.2445E+01              1.2445E+01
  1694.0           1.2447E+01              1.2447E+01
  1695.0           1.2448E+01              1.2448E+01
  1696.0           1.2449E+01              1.2449E+01
  1697.0           1.2451E+01              1.2451E+01
  1698.0           1.2452E+01              1.2452E+01
  1699.0           1.2453E+01              1.2453E+01
  1700.0           1.2454E+01              1.2454E+01
  1701.0           1.2456E+01              1.2456E+01
  1702.0           1.2457E+01              1.2457E+01
  1703.0           1.2458E+01              1.2458E+01
  1704.0           1.2459E+01              1.2459E+01
  1705.0           1.2461E+01              1.2461E+01
  1706.0           1.2462E+01              1.2462E+01
  1707.0           1.2463E+01              1.2463E+01
  1708.0           1.2465E+01              1.2465E+01
  1709.0           1.2466E+01              1.2466E+01
  1710.0           1.2467E+01              1.2467E+01
  1711.0           1.2468E+01              1.2468E+01
  1712.0           1.2470E+01              1.2470E+01
  1713.0           1.2471E+01              1.2471E+01
  1714.0           1.2472E+01              1.2472E+01
  1715.0           1.2473E+01              1.2473E+01
  1716.0           1.2475E+01              1.2475E+01
  1717.0           1.2476E+01              1.2476E+01
  1718.0           1.2477E+01              1.2477E+01
  1719.0           1.2479E+01              1.2479E+01
  1720.0           1.2480E+01              1.2480E+01
  1721.0           1.2481E+01              1.2481E+01
  1722.0           1.2482E+01              1.2482E+01
  1723.0           1.2484E+01              1.2484E+01
  1724.0           1.2485E+01              1.2485E+01
  1725.0           1.2486E+01              1.2486E+01
  1726.0           1.2487E+01              1.2487E+01
  1727.0           1.2489E+01              1.2489E+01
  1728.0           1.2490E+01              1.2490E+01
  1729.0           1.2491E+01              1.2491E+01
  1730.0           1.2493E+01              1.2492E+01
  1731.0           1.2494E+01              1.2494E+01
  1732.0           1.2495E+01              1.2495E+01
  1733.0           1.2496E+01              1.2496E+01
  1734.0           1.2498E+01              1.2498E+01
  1735.0           1.2499E+01              1.2499E+01
  1736.0           1.2500E+01              1.2500E+01
  1737.0           1.2501E+01              1.2501E+01
  1738.0           1.2503E+01              1.2503E+01
  1739.0           1.2504E+01              1.2504E+01
  1740.0           1.2505E+01              1.2505E+01
  1741.0           1.2506E+01              1.2506E+01
  1742.0           1.2508E+01              1.2508E+01
  1743.0           1.2509E+01              1.2509E+01
  1744.0           1.2510E+01              1.2510E+01
  1745.0           1.2511E+01              1.2511E+01
  1746.0           1.2513E+01              1.2513E+01
  1747.0           1.2514E+01              1.2514E+01
  1748.0           1.2515E+01              1.2515E+01
  1749.0           1.2516E+01              1.2516E+01
  1750.0           1.2518E+01              1.2518E+01
  1751.0           1.2519E+01              1.2519E+01
  1752.0           1.2520E+01              1.2520E+01
  1753.0           1.2522E+01              1.2522E+01
  1754.0           1.2523E+01              1.2523E+01
  1755.0           1.2524E+01              1.2524E+01
  1756.0           1.2525E+01              1.2525E+01
  1757.0           1.2527E+01              1.2527E+01
  1758.0           1.2528E+01              1.2528E+01
  1759.0           1.2529E+01              1.2529E+01
  1760.0           1.2530E+01              1.2530E+01
  1761.0           1.2532E+01              1.2532E+01
  1762.0           1.2533E+01              1.2533E+01
  1763.0           1.2534E+01              1.2534E+01
  1764.0           1.2535E+01              1.2535E+01
  1765.0           1.2537E+01              1.2537E+01
  1766.0           1.2538E+01              1.2538E+01
  1767.0           1.2539E+01              1.2539E+01
  1768.0           1.2540E+01              1.2540E+01
  1769.0           1.2542E+01              1.2542E+01
  1770.0           1.2543E+01              1.2543E+01
  1771.0           1.2544E+01              1.2544E+01
  1772.0           1.2545E+01              1.2545E+01
  1773.0           1.2547E+01              1.2547E+01
  1774.0           1.2548E+01              1.2548E+01
  1775.0           1.2549E+01              1.2549E+01
  1776.0           1.2550E+01              1.2550E+01
  1777.0           1.2552E+01              1.2552E+01
  1778.0           1.2553E+01              1.2553E+01
  1779.0           1.2554E+01              1.2554E+01
  1780.0           1.2555E+01              1.2555E+01
  1781.0           1.2557E+01              1.2557E+01
  1782.0           1.2558E+01              1.2558E+01
  1783.0           1.2559E+01              1.2559E+01
  1784.0           1.2560E+01              1.2560E+01
  1785.0           1.2562E+01              1.2562E+01
  1786.0           1.2563E+01              1.2563E+01
  1787.0           1.2564E+01              1.2564E+01
  1788.0           1.2565E+01              1.2565E+01
  1789.0           1.2567E+01              1.2567E+01
  1790.0           1.2568E+01              1.2568E+01
  1791.0           1.2569E+01              1.2569E+01
  1792.0           1.2570E+01              1.2570E+01
  1793.0           1.2572E+01              1.2572E+01
  1794.0           1.2573E+01              1.2573E+01
  1795.0           1.2574E+01              1.2574E+01
  1796.0           1.2575E+01              1.2575E+01
  1797.0           1.2577E+01              1.2577E+01
  1798.0           1.2578E+01              1.2578E+01
  1799.0           1.2579E+01              1.2579E+01
  1800.0           1.2580E+01              1.2580E+01
  1801.0           1.2582E+01              1.2582E+01
  1802.0           1.2583E+01              1.2583E+01
  1803.0           1.2584E+01              1.2584E+01
  1804.0           1.2585E+01              1.2585E+01
  1805.0           1.2586E+01              1.2586E+01
  1806.0           1.2588E+01              1.2588E+01
  1807.0           1.2589E+01              1.2589E+01
  1808.0           1.2590E+01              1.2590E+01
  1809.0           1.2591E+01              1.2591E+01
  1810.0           1.2593E+01              1.2593E+01
  1811.0           1.2594E+01              1.2594E+01
  1812.0           1.2595E+01              1.2595E+01
  1813.0           1.2596E+01              1.2596E+01
  1814.0           1.2598E+01              1.2598E+01
  1815.0           1.2599E+01              1.2599E+01
  1816.0           1.2600E+01              1.2600E+01
  1817.0           1.2601E+01              1.2601E+01
  1818.0           1.2603E+01              1.2603E+01
  1819.0           1.2604E+01              1.2604E+01
  1820.0           1.2605E+01              1.2605E+01
  1821.0           1.2606E+01              1.2606E+01
  1822.0           1.2608E+01              1.2608E+01
  1823.0           1.2609E+01              1.2609E+01
  1824.0           1.2610E+01              1.2610E+01
  1825.0           1.2611E+01              1.2611E+01
  1826.0           1.2612E+01              1.2612E+01
  1827.0           1.2614E+01              1.2614E+01
  1828.0           1.2615E+01              1.2615E+01
  1829.0           1.2616E+01              1.2616E+01
  1830.0           1.2617E+01              1.2617E+01
  1831.0           1.2619E+01              1.2619E+01
  1832.0           1.2620E+01              1.2620E+01
  1833.0           1.2621E+01              1.2621E+01
  1834.0           1.2622E+01              1.2622E+01
  1835.0           1.2624E+01              1.2624E+01
  1836.0           1.2625E+01              1.2625E+01
  1837.0           1.2626E+01              1.2626E+01
  1838.0           1.2627E+01              1.2627E+01
  1839.0           1.2628E+01              1.2628E+01
  1840.0           1.2630E+01              1.2630E+01
  1841.0           1.2631E+01              1.2631E+01
  1842.0           1.2632E+01              1.2632E+01
  1843.0           1.2633E+01              1.2633E+01
  1844.0           1.2635E+01              1.2635E+01
  1845.0           1.2636E+01              1.2636E+01
  1846.0           1.2637E+01              1.2637E+01
  1847.0           1.2638E+01              1.2638E+01
  1848.0           1.2640E+01              1.2640E+01
  1849.0           1.2641E+01              1.2641E+01
  1850.0           1.2642E+01              1.2642E+01
  1851.0           1.2643E+01              1.2643E+01
  1852.0           1.2644E+01              1.2644E+01
  1853.0           1.2646E+01              1.2646E+01
  1854.0           1.2647E+01              1.2647E+01
  1855.0           1.2648E+01              1.2648E+01
  1856.0           1.2649E+01              1.2649E+01
  1857.0           1.2651E+01              1.2651E+01
  1858.0           1.2652E+01              1.2652E+01
  1859.0           1.2653E+01              1.2653E+01
  1860.0           1.2654E+01              1.2654E+01
  1861.0           1.2655E+01              1.2655E+01
  1862.0           1.2657E+01              1.2657E+01
  1863.0           1.2658E+01              1.2658E+01
  1864.0           1.2659E+01              1.2659E+01
  1865.0           1.2660E+01              1.2660E+01
  1866.0           1.2662E+01              1.2662E+01
  1867.0           1.2663E+01              1.2663E+01
  1868.0           1.2664E+01              1.2664E+01
  1869.0           1.2665E+01              1.2665E+01
  1870.0           1.2666E+01              1.2666E+01
  1871.0           1.2668E+01              1.2668E+01
  1872.0           1.2669E+01              1.2669E+01
  1873.0           1.2670E+01              1.2670E+01
  1874.0           1.2671E+01              1.2671E+01
  1875.0           1.2673E+01              1.2673E+01
  1876.0           1.2674E+01              1.2674E+01
  1877.0           1.2675E+01              1.2675E+01
  1878.0           1.2676E+01              1.2676E+01
  1879.0           1.2677E+01              1.2677E+01
  1880.0           1.2679E+01              1.2679E+01
  1881.0           1.2680E+01              1.2680E+01
  1882.0           1.2681E+01              1.2681E+01
  1883.0           1.2682E+01              1.2682E+01
  1884.0           1.2683E+01              1.2683E+01
  1885.0           1.2685E+01              1.2685E+01
  1886.0           1.2686E+01              1.2686E+01
  1887.0           1.2687E+01              1.2687E+01
  1888.0           1.2688E+01              1.2688E+01
  1889.0           1.2690E+01              1.2690E+01
  1890.0           1.2691E+01              1.2691E+01
  1891.0           1.2692E+01              1.2692E+01
  1892.0           1.2693E+01              1.2693E+01
  1893.0           1.2694E+01              1.2694E+01
  1894.0           1.2696E+01              1.2696E+01
  1895.0           1.2697E+01              1.2697E+01
  1896.0           1.2698E+01              1.2698E+01
  1897.0           1.2699E+01              1.2699E+01
  1898.0           1.2700E+01              1.2700E+01
  1899.0           1.2702E+01              1.2702E+01
  1900.0           1.2703E+01              1.2703E+01
  1901.0           1.2704E+01              1.2704E+01
  1902.0           1.2705E+01              1.2705E+01
  1903.0           1.2707E+01              1.2706E+01
  1904.0           1.2708E+01              1.2708E+01
  1905.0           1.2709E+01              1.2709E+01
  1906.0           1.2710E+01              1.2710E+01
  1907.0           1.2711E+01              1.2711E+01
  1908.0           1.2713E+01              1.2713E+01
  1909.0           1.2714E+01              1.2714E+01
  1910.0           1.2715E+01              1.2715E+01
  1911.0           1.2716E+01              1.2716E+01
  1912.0           1.2717E+01              1.2717E+01
  1913.0           1.2719E+01              1.2719E+01
  1914.0           1.2720E+01              1.2720E+01
  1915.0           1.2721E+01              1.2721E+01
  1916.0           1.2722E+01              1.2722E+01
  1917.0           1.2723E+01              1.2723E+01
  1918.0           1.2725E+01              1.2725E+01
  1919.0           1.2726E+01              1.2726E+01
  1920.0           1.2727E+01              1.2727E+01
  1921.0           1.2728E+01              1.2728E+01
  1922.0           1.2729E+01              1.2729E+01
  1923.0           1.2731E+01              1.2731E+01
  1924.0           1.2732E+01              1.2732E+01
  1925.0           1.2733E+01              1.2733E+01
  1926.0           1.2734E+01              1.2734E+01
  1927.0           1.2735E+01              1.2735E+01
  1928.0           1.2737E+01              1.2737E+01
  1929.0           1.2738E+01              1.2738E+01
  1930.0           1.2739E+01              1.2739E+01
  1931.0           1.2740E+01              1.2740E+01
  1932.0           1.2741E+01              1.2741E+01
  1933.0           1.2743E+01              1.2743E+01
